Weather Scenario,Year,EVA category 1,Average of Value
WS12,2030,Gas CCGT 58,1860.1
WS13,2030,Gas CCGT 58,2138.5
WS14,2030,Gas CCGT 58,1949.5
WS15,2030,Gas CCGT 58,2304.2
WS16,2030,Gas CCGT 58,1672.4
WS17,2030,Gas CCGT 58,2441.9
WS18,2030,Gas CCGT 58,2335.5
WS19,2030,Gas CCGT 58,2541.2
WS20,2030,Gas CCGT 58,1530.6
WS21,2030,Gas CCGT 58,1768.8
WS22,2030,Gas CCGT 58,1775.3
WS23,2030,Gas CCGT 58,2260.6
WS24,2030,Gas CCGT 58,1798.0
WS25,2030,Gas CCGT 58,2694.1
WS26,2030,Gas CCGT 58,1805.8
WS27,2030,Gas CCGT 58,2015.5
WS28,2030,Gas CCGT 58,2388.2
WS29,2030,Gas CCGT 58,2304.9
WS30,2030,Gas CCGT 58,2151.5
WS31,2030,Gas CCGT 58,2278.2
WS32,2030,Gas CCGT 58,2398.5
WS33,2030,Gas CCGT 58,1780.5
WS34,2030,Gas CCGT 58,1556.4
WS35,2030,Gas CCGT 58,2025.1
WS36,2030,Gas CCGT 58,1817.2
WS01,2033,Gas CCGT 58,1636.5
WS02,2033,Gas CCGT 58,1465.3
WS03,2033,Gas CCGT 58,1209.9
WS04,2033,Gas CCGT 58,1824.8
WS05,2033,Gas CCGT 58,1925.3
WS06,2033,Gas CCGT 58,1507.4
WS07,2033,Gas CCGT 58,1588.3
WS08,2033,Gas CCGT 58,732.4
WS09,2033,Gas CCGT 58,1429.8
WS10,2033,Gas CCGT 58,1500.6
WS11,2033,Gas CCGT 58,1456.8
WS12,2033,Gas CCGT 58,1194.0
WS13,2033,Gas CCGT 58,1508.0
WS14,2033,Gas CCGT 58,1313.6
WS15,2033,Gas CCGT 58,1725.0
WS16,2033,Gas CCGT 58,1299.0
WS17,2033,Gas CCGT 58,1922.8
WS18,2033,Gas CCGT 58,1674.1
WS19,2033,Gas CCGT 58,1895.2
WS20,2033,Gas CCGT 58,860.4
WS21,2033,Gas CCGT 58,1225.8
WS22,2033,Gas CCGT 58,1326.4
WS23,2033,Gas CCGT 58,1805.1
WS24,2033,Gas CCGT 58,1259.3
WS25,2033,Gas CCGT 58,2012.3
WS26,2033,Gas CCGT 58,1296.3
WS27,2033,Gas CCGT 58,1348.6
WS28,2033,Gas CCGT 58,1717.6
WS29,2033,Gas CCGT 58,1683.7
WS30,2033,Gas CCGT 58,1516.0
WS31,2033,Gas CCGT 58,1804.5
WS32,2033,Gas CCGT 58,1897.1
WS33,2033,Gas CCGT 58,1263.3
WS34,2033,Gas CCGT 58,1017.0
WS35,2033,Gas CCGT 58,1446.6
WS36,2033,Gas CCGT 58,1351.3
WS01,2035,Gas CCGT 58,1213.5
WS02,2035,Gas CCGT 58,1137.6
WS03,2035,Gas CCGT 58,911.4
WS04,2035,Gas CCGT 58,1184.5
WS05,2035,Gas CCGT 58,1635.1
WS06,2035,Gas CCGT 58,1191.2
WS07,2035,Gas CCGT 58,1216.0
WS08,2035,Gas CCGT 58,460.1
WS09,2035,Gas CCGT 58,1081.3
WS10,2035,Gas CCGT 58,1135.7
WS11,2035,Gas CCGT 58,985.0
WS12,2035,Gas CCGT 58,826.7
WS13,2035,Gas CCGT 58,1213.3
WS14,2035,Gas CCGT 58,969.4
