Scenario,Object A,Object B,Probability
TY2035L,BE00,DKW1,0.948290639
TY2035L,BE00,FR00,0.37834492
TY2035L,BE00,NL00,0.968288734
TY2035L,BE00,NOS2,0
TY2035L,BE00,UK00,0.104751928
TY2035L,DE00,BE00,0.740048165
TY2035L,DE00,DE00,1
TY2035L,DE00,DKW1,0.948009633
TY2035L,DE00,FR00,0.306700666
TY2035L,DE00,NL00,0.944113897
TY2035L,DE00,NOS2,0
TY2035L,DE00,UK00,0.080464655
TY2035L,DKW1,BE00,0.73496199
TY2035L,DKW1,DE00,0.987821979
TY2035L,DKW1,DKW1,1
TY2035L,DKW1,FR00,0.295962802
TY2035L,DKW1,NL00,0.940881246
TY2035L,DKW1,NOS2,0
TY2035L,DKW1,UK00,0.083327183
TY2035L,FR00,BE00,0.904599271
TY2035L,FR00,DE00,0.985883424
TY2035L,FR00,DKW1,0.913023679
TY2035L,FR00,FR00,1
TY2035L,FR00,NL00,0.937386157
TY2035L,FR00,NOS2,0
TY2035L,FR00,UK00,0.135245902
TY2035L,NL00,BE00,0.756603914
TY2035L,NL00,DE00,0.991814867
TY2035L,NL00,DKW1,0.948582484
TY2035L,NL00,FR00,0.306347198
TY2035L,NL00,NL00,1
TY2035L,NL00,NOS2,0
TY2035L,NL00,UK00,0.085050971
TY2035L,NOS2,BE00,
TY2035L,NOS2,DE00,
TY2035L,NOS2,DKW1,
TY2035L,NOS2,FR00,
TY2035L,NOS2,NL00,
TY2035L,NOS2,NOS2,
TY2035L,NOS2,UK00,
TY2035L,UK00,BE00,0.868192581
TY2035L,UK00,DE00,0.896606156
TY2035L,UK00,DKW1,0.891081294
TY2035L,UK00,FR00,0.468823994
TY2035L,UK00,NL00,0.902131018
TY2035L,UK00,NOS2,0
TY2035L,UK00,UK00,1
