Weather Scenario,Year,EVA category 1,Average of Value
WS10,2033,Gas CCGT 52,1569.2
WS11,2033,Gas CCGT 52,1471.4
WS12,2033,Gas CCGT 52,1320.2
WS13,2033,Gas CCGT 52,1565.4
WS14,2033,Gas CCGT 52,1375.1
WS15,2033,Gas CCGT 52,1684.7
WS16,2033,Gas CCGT 52,1316.8
WS17,2033,Gas CCGT 52,1777.1
WS18,2033,Gas CCGT 52,1679.5
WS19,2033,Gas CCGT 52,1870.1
WS20,2033,Gas CCGT 52,1020.4
WS21,2033,Gas CCGT 52,1369.5
WS22,2033,Gas CCGT 52,1311.3
WS23,2033,Gas CCGT 52,1729.8
WS24,2033,Gas CCGT 52,1269.5
WS25,2033,Gas CCGT 52,1994.5
WS26,2033,Gas CCGT 52,1377.9
WS27,2033,Gas CCGT 52,1465.8
WS28,2033,Gas CCGT 52,1719.0
WS29,2033,Gas CCGT 52,1687.2
WS30,2033,Gas CCGT 52,1543.9
WS31,2033,Gas CCGT 52,1634.3
WS32,2033,Gas CCGT 52,1837.5
WS33,2033,Gas CCGT 52,1368.9
WS34,2033,Gas CCGT 52,1142.3
WS35,2033,Gas CCGT 52,1543.7
WS36,2033,Gas CCGT 52,1344.8
WS01,2035,Gas CCGT 52,956.7
WS02,2035,Gas CCGT 52,909.2
WS03,2035,Gas CCGT 52,776.3
WS04,2035,Gas CCGT 52,957.4
WS05,2035,Gas CCGT 52,1327.4
WS06,2035,Gas CCGT 52,985.8
WS07,2035,Gas CCGT 52,1014.5
WS08,2035,Gas CCGT 52,448.2
WS09,2035,Gas CCGT 52,891.3
WS10,2035,Gas CCGT 52,958.6
WS11,2035,Gas CCGT 52,895.3
WS12,2035,Gas CCGT 52,769.0
WS13,2035,Gas CCGT 52,1036.6
WS14,2035,Gas CCGT 52,833.3
WS15,2035,Gas CCGT 52,1056.2
WS16,2035,Gas CCGT 52,926.6
WS17,2035,Gas CCGT 52,1279.5
WS18,2035,Gas CCGT 52,1020.6
WS19,2035,Gas CCGT 52,1114.1
WS20,2035,Gas CCGT 52,619.9
WS21,2035,Gas CCGT 52,896.7
WS22,2035,Gas CCGT 52,869.9
WS23,2035,Gas CCGT 52,1186.2
WS24,2035,Gas CCGT 52,723.6
WS25,2035,Gas CCGT 52,1446.6
WS26,2035,Gas CCGT 52,891.3
WS27,2035,Gas CCGT 52,855.6
WS28,2035,Gas CCGT 52,1063.7
WS29,2035,Gas CCGT 52,1049.8
WS30,2035,Gas CCGT 52,852.6
WS31,2035,Gas CCGT 52,1017.2
WS32,2035,Gas CCGT 52,1356.2
WS33,2035,Gas CCGT 52,881.8
WS34,2035,Gas CCGT 52,612.9
WS35,2035,Gas CCGT 52,848.1
WS36,2035,Gas CCGT 52,823.1
WS01,2028,Gas CCGT 58,2480.7
WS02,2028,Gas CCGT 58,2324.4
WS03,2028,Gas CCGT 58,1905.9
WS04,2028,Gas CCGT 58,2544.4
WS05,2028,Gas CCGT 58,2945.9
WS06,2028,Gas CCGT 58,2319.0
WS07,2028,Gas CCGT 58,2409.7
WS08,2028,Gas CCGT 58,1459.2
WS09,2028,Gas CCGT 58,2137.5
WS10,2028,Gas CCGT 58,2591.4
WS11,2028,Gas CCGT 58,2266.1
WS12,2028,Gas CCGT 58,2165.9
WS13,2028,Gas CCGT 58,2301.5
WS14,2028,Gas CCGT 58,2012.1
WS15,2028,Gas CCGT 58,2513.9
WS16,2028,Gas CCGT 58,1818.0
WS17,2028,Gas CCGT 58,2505.1
WS18,2028,Gas CCGT 58,2623.6
WS19,2028,Gas CCGT 58,2727.6
WS20,2028,Gas CCGT 58,1635.7
WS21,2028,Gas CCGT 58,1908.2
WS22,2028,Gas CCGT 58,1911.5
WS23,2028,Gas CCGT 58,2451.9
WS24,2028,Gas CCGT 58,2025.8
WS25,2028,Gas CCGT 58,2933.9
WS26,2028,Gas CCGT 58,2031.0
WS27,2028,Gas CCGT 58,2273.0
WS28,2028,Gas CCGT 58,2751.5
WS29,2028,Gas CCGT 58,2461.4
WS30,2028,Gas CCGT 58,2272.9
WS31,2028,Gas CCGT 58,2538.4
WS32,2028,Gas CCGT 58,2544.0
WS33,2028,Gas CCGT 58,2002.3
WS34,2028,Gas CCGT 58,1791.0
WS35,2028,Gas CCGT 58,2304.1
WS36,2028,Gas CCGT 58,2016.2
WS01,2030,Gas CCGT 58,2456.0
WS02,2030,Gas CCGT 58,2283.7
WS03,2030,Gas CCGT 58,1976.2
WS04,2030,Gas CCGT 58,3050.7
WS05,2030,Gas CCGT 58,2867.1
WS06,2030,Gas CCGT 58,2397.4
WS07,2030,Gas CCGT 58,2441.3
WS08,2030,Gas CCGT 58,1477.2
WS09,2030,Gas CCGT 58,2262.7
WS10,2030,Gas CCGT 58,2521.5
WS11,2030,Gas CCGT 58,2256.1
WS12,2030,Gas CCGT 58,2136.4
WS13,2030,Gas CCGT 58,2384.0
WS14,2030,Gas CCGT 58,2221.8
WS15,2030,Gas CCGT 58,2520.1
WS16,2030,Gas CCGT 58,1922.8
WS17,2030,Gas CCGT 58,2652.7
WS18,2030,Gas CCGT 58,2584.0
WS19,2030,Gas CCGT 58,2749.5
WS20,2030,Gas CCGT 58,1841.3
WS21,2030,Gas CCGT 58,2005.7
WS22,2030,Gas CCGT 58,2013.9
WS23,2030,Gas CCGT 58,2513.7
WS24,2030,Gas CCGT 58,1992.9
WS25,2030,Gas CCGT 58,2942.2
WS26,2030,Gas CCGT 58,2058.0
WS27,2030,Gas CCGT 58,2247.5
WS28,2030,Gas CCGT 58,2616.1
WS29,2030,Gas CCGT 58,2604.6
WS30,2030,Gas CCGT 58,2392.2
WS31,2030,Gas CCGT 58,2459.4
WS32,2030,Gas CCGT 58,2596.4
WS33,2030,Gas CCGT 58,2012.6
WS34,2030,Gas CCGT 58,1820.0
WS35,2030,Gas CCGT 58,2309.6
WS36,2030,Gas CCGT 58,2088.4
WS01,2033,Gas CCGT 58,2071.7
WS02,2033,Gas CCGT 58,1836.4
WS03,2033,Gas CCGT 58,1618.8
WS04,2033,Gas CCGT 58,2311.3
WS05,2033,Gas CCGT 58,2336.5
WS06,2033,Gas CCGT 58,1944.4
WS07,2033,Gas CCGT 58,2006.7
WS08,2033,Gas CCGT 58,1094.1
WS09,2033,Gas CCGT 58,1871.3
WS10,2033,Gas CCGT 58,1985.4
WS11,2033,Gas CCGT 58,1841.8
WS12,2033,Gas CCGT 58,1706.7
WS13,2033,Gas CCGT 58,1918.1
WS14,2033,Gas CCGT 58,1706.3
WS15,2033,Gas CCGT 58,2096.5
WS16,2033,Gas CCGT 58,1666.5
WS17,2033,Gas CCGT 58,2258.5
WS18,2033,Gas CCGT 58,2149.2
WS19,2033,Gas CCGT 58,2256.9
WS20,2033,Gas CCGT 58,1275.0
WS21,2033,Gas CCGT 58,1577.5
WS22,2033,Gas CCGT 58,1658.8
WS23,2033,Gas CCGT 58,2181.2
WS24,2033,Gas CCGT 58,1592.6
WS25,2033,Gas CCGT 58,2503.8
WS26,2033,Gas CCGT 58,1725.4
WS27,2033,Gas CCGT 58,1783.5
WS28,2033,Gas CCGT 58,2158.0
WS29,2033,Gas CCGT 58,2150.1
WS30,2033,Gas CCGT 58,1966.7
WS31,2033,Gas CCGT 58,2134.9
WS32,2033,Gas CCGT 58,2293.2
WS33,2033,Gas CCGT 58,1680.7
WS34,2033,Gas CCGT 58,1440.3
WS35,2033,Gas CCGT 58,1953.4
WS36,2033,Gas CCGT 58,1739.8
WS01,2035,Gas CCGT 58,1442.8
WS02,2035,Gas CCGT 58,1321.0
WS03,2035,Gas CCGT 58,1122.3
WS04,2035,Gas CCGT 58,1397.0
WS05,2035,Gas CCGT 58,1836.6
WS06,2035,Gas CCGT 58,1405.5
WS07,2035,Gas CCGT 58,1440.3
WS08,2035,Gas CCGT 58,637.9
WS09,2035,Gas CCGT 58,1309.8
WS10,2035,Gas CCGT 58,1433.1
WS11,2035,Gas CCGT 58,1231.5
WS12,2035,Gas CCGT 58,1054.7
WS13,2035,Gas CCGT 58,1426.3
WS14,2035,Gas CCGT 58,1160.9
WS15,2035,Gas CCGT 58,1506.6
WS16,2035,Gas CCGT 58,1299.4
WS17,2035,Gas CCGT 58,1827.5
WS18,2035,Gas CCGT 58,1405.7
WS19,2035,Gas CCGT 58,1585.2
WS20,2035,Gas CCGT 58,855.7
WS21,2035,Gas CCGT 58,1228.2
WS22,2035,Gas CCGT 58,1255.2
WS23,2035,Gas CCGT 58,1654.2
WS24,2035,Gas CCGT 58,1033.5
WS25,2035,Gas CCGT 58,1918.0
WS26,2035,Gas CCGT 58,1196.3
WS27,2035,Gas CCGT 58,1208.2
WS28,2035,Gas CCGT 58,1503.5
WS29,2035,Gas CCGT 58,1555.8
WS30,2035,Gas CCGT 58,1237.8
WS31,2035,Gas CCGT 58,1505.5
WS32,2035,Gas CCGT 58,1815.1
WS33,2035,Gas CCGT 58,1214.2
WS34,2035,Gas CCGT 58,909.6
WS35,2035,Gas CCGT 58,1233.6
WS36,2035,Gas CCGT 58,1200.3
WS01,2028,Nuclear,6506.5
WS02,2028,Nuclear,6513.7
WS03,2028,Nuclear,6433.9
WS04,2028,Nuclear,6639.2
WS05,2028,Nuclear,6631.7
WS06,2028,Nuclear,6421.2
WS07,2028,Nuclear,6476.0
WS08,2028,Nuclear,6241.7
WS09,2028,Nuclear,6675.7
WS10,2028,Nuclear,6446.0
WS11,2028,Nuclear,6456.9
WS12,2028,Nuclear,6484.0
